Parameter,Value,Value Litt,Range,List,Integer,Type,Unit,Description,Source
Lambda_Mon_CCL2,30,0.272727273,TRUE,FALSE,FALSE,Arrival,10^3cells/pg,Inlux of Monocytes in the Lamina Propria due to the consumption of CCL2,Knobloch1985
Lambda_ImDC,5,7.7,TRUE,FALSE,FALSE,Arrival,10^3cells/mm^3.d,Inlux of Immature Dendritic Cells in the Lamina Propria,Knobloch1985
Lambda_Mon_K,0.2,<<<0.27272727273,TRUE,FALSE,FALSE,Arrival,10^3cells/mm^3.d,Inlux of Monocytes in the Lamina Propria ,Knobloch1985
Lambda_nTc,0.006,0.006,TRUE,FALSE,FALSE,Arrival,10^3cells/mm^3.d,Inlux of naive T cells in the MLN,DeBoer2013
barXi_DC_fTH17,0.9,2.78,TRUE,FALSE,FALSE,Binding,1/d,Unbiding rate of fTH17 from DC,Obst2015
barXi_DC_fTreg,0.9,2.78,TRUE,FALSE,FALSE,Binding,1/d,Unbiding rate of fTreg from DC,Obst2015
xi_nTc_DC_0,458,4.586*e^4,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of nTc to DC (Numerator in Hill equation),"Stein2015, Stone2009, Labrecque2001"
xi_TH17_DC_0,458.6,4.586*e^4,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of TH17 to DC (Numerator in Hill equation),"Stein2015, Labrecque2001"
xi_Treg_DC_0,458.6,4.586*e^4,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of Treg to DC (Numerator in Hill equation),"Stein2015, Labrecque2001"
xi_Mac_Ag,500,0,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of antigen to Macrophages (Numerator in Hill equation),
xi_Epi_Ag,500,0,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of antigen to Epi (Numerator in Hill equation),
xi_sEpi_Ag,500,0,TRUE,FALSE,FALSE,Binding,1/d,Binding rate of antigen to stem Epi (Numerator in Hill equation),
K_nTc,160,1.6*10^7,TRUE,FALSE,FALSE,Binding Bis,1/d,Binding rate of nTc to DC (Denominator in Hill equation),"Stone2009, Labrecque2001"
K_TH17,560,1.6*10^7,TRUE,FALSE,FALSE,Binding Bis,1/d,Binding rate of TH17 to DC (Denominator in Hill equation),"Stone2009, Labrecque2001"
K_Treg,560,1.6*10^7,TRUE,FALSE,FALSE,Binding Bis,1/d,Binding rate of Treg to DC (Denominator in Hill equation),"Stone2009, Labrecque2001"
Gamma_CCL2_Mon,2.49993651,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL2 by Monocytes (Numerator in Hill equation),Knobloch1985
Gamma_CCL25_sTH17,0.3,1.76,TRUE,FALSE,FALSE,Consumption,pg/10^3cells.d,Consumption of CCL25 by stabilized TH17 (Numerator in Hill equation),Knobloch1985
